url,page_type,locale,source_route,should_index
https://archicompass.pl/,static_page,pl,app/page.tsx,false
https://archicompass.pl/ai-disclaimer,legal_page,pl,app/ai-disclaimer/page.tsx,false
https://archicompass.pl/ai-transparency,legal_page,pl,app/ai-transparency/page.tsx,false
https://archicompass.pl/cookies,legal_page,pl,app/cookies/page.tsx,false
https://archicompass.pl/designers,static_page,pl,app/designers/page.tsx,false
https://archicompass.pl/designers/monika-gregorczuk,designer_profile,pl,app/designers/[id]/page.tsx,false
https://archicompass.pl/en,static_page,en,app/page.tsx,false
https://archicompass.pl/en/ai-disclaimer,legal_page,en,app/ai-disclaimer/page.tsx,false
https://archicompass.pl/en/ai-transparency,legal_page,en,app/ai-transparency/page.tsx,false
https://archicompass.pl/en/cookies,legal_page,en,app/cookies/page.tsx,false
https://archicompass.pl/en/designers,static_page,en,app/designers/page.tsx,false
https://archicompass.pl/en/designers/monika-gregorczuk,designer_profile,en,app/designers/[id]/page.tsx,false
https://archicompass.pl/en/get-started,static_page,en,app/get-started/page.tsx,false
https://archicompass.pl/en/guides,static_page,en,app/guides/page.tsx,false
https://archicompass.pl/en/guides/apartment-renovation-budget,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/architect-or-interior-designer,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/how-to-choose-an-interior-designer,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/how-to-define-your-interior-style,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/how-to-plan-an-interior-design-project,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/how-to-prepare-an-interior-design-brief,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/how-to-save-money-on-a-renovation,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/interior-design-costs-in-poland,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/interior-design-project-timeline,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/interior-design-trends-2026,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/mistakes-before-starting-a-renovation,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/most-popular-interior-styles,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/renovation-checklist-before-you-start,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/small-apartment-design-ideas,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/guides/why-archicompass,guide_article,en,app/guides/[slug]/page.tsx,false
https://archicompass.pl/en/inspiration,static_page,en,app/inspiration/page.tsx,false
https://archicompass.pl/en/inspiration/minimalist-kitchen-design,inspiration_article,en,app/inspiration/[slug]/page.tsx,false
https://archicompass.pl/en/inspiration/modern-living-room-trends,inspiration_article,en,app/inspiration/[slug]/page.tsx,false
https://archicompass.pl/en/inspiration/sustainable-architecture-guide,inspiration_article,en,app/inspiration/[slug]/page.tsx,false
https://archicompass.pl/en/interior-designers/poland/gdansk,city_directory,en,app/interior-designers/[country]/[city]/page.tsx,false
https://archicompass.pl/en/interior-designers/poland/krakow,city_directory,en,app/interior-designers/[country]/[city]/page.tsx,false
https://archicompass.pl/en/interior-designers/poland/lodz,city_directory,en,app/interior-designers/[country]/[city]/page.tsx,false
https://archicompass.pl/en/interior-designers/poland/poznan,city_directory,en,app/interior-designers/[country]/[city]/page.tsx,false
https://archicompass.pl/en/interior-designers/poland/warsaw,city_directory,en,app/interior-designers/[country]/[city]/page.tsx,false
https://archicompass.pl/en/interior-designers/poland/wroclaw,city_directory,en,app/interior-designers/[country]/[city]/page.tsx,false
https://archicompass.pl/en/pricing,static_page,en,app/pricing/page.tsx,false
https://archicompass.pl/en/privacy,legal_page,en,app/privacy/page.tsx,false
https://archicompass.pl/en/privacy-and-ai,legal_page,en,app/privacy-and-ai/page.tsx,false
https://archicompass.pl/en/project-compass,static_page,en,app/project-compass/page.tsx,false
https://archicompass.pl/en/projects/01b0f54f-44c0-471a-ab5c-89024a3ad4e7,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/054bbaf7-4428-4264-abb9-755c6f21f988,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/0d009649-98b4-4b5d-ba7b-2a53e67b7bfc,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/11766e76-2386-412c-a678-c91b9a91a776,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/17f17177-1e0d-44fe-b154-6e47f7bbb8a9,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/1b45eb9f-456c-4939-99b3-e1fbd0d1278b,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/22b02933-e332-42a7-b586-8ea2682f4e42,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/35a9b8f5-d9dc-4523-b043-c5ae73147bf0,portfolio_project,en,app/projects/[id]/page.tsx,false
https://archicompass.pl/en/projects/36120c29-3bd8-436b-ac05-c0d308be2c39,portfolio_project,en,app/projects/[id]/page.tsx,false
